"","area","fullyvacc","population","diff_cases","diff_incidence","diff_deaths","diff_mortality","diff_test","diff_ntest","FIPS","unemployment_2020","perc_income","hhold_income","RUC_Code","poverty_all","poverty_17","hi_edu"
"1","Alameda",1238220,1685886,23940,0.0142002484153733,194,0.000115073023917394,1380590,0.818910649949048,6001,5.2,133.8,107589,1,8.9,9.8,47.4
"2","Alpine",711,1117,17,0.0152193375111907,0,0,513,0.459265890778872,6003,8,72.3,58112,8,17.2,29.6,34.5
"3","Amador",19605,38531,1714,0.044483662505515,19,0.000493109444343516,35006,0.908515221509953,6005,5.7,77.9,62640,6,9.8,12.5,19.3
"4","Butte",107543,217769,8031,0.0368785272467615,111,0.000509714422162934,100048,0.459422599176191,6007,5.7,72.6,58394,3,16.1,16.1,27.2
"5","Calaveras",22959,44289,2032,0.0458804669330985,29,0.000654790128474339,24685,0.557361873151347,6009,4.7,84.9,68248,6,12.1,19.6,18.3
"6","Colusa",11798,22593,548,0.0242553003142566,5,0.00022130748461913,6490,0.287257115035631,6011,8.4,73.4,59048,6,12,15.3,15
"7","Contra Costa",870086,1160099,23037,0.0198577879991277,205,0.000176709056727055,783529,0.67539839272338,6013,5.5,132.5,106555,1,7.9,9.9,42.4
"8","Del Norte",12005,27558,1997,0.072465345816097,28,0.00101603889977502,47144,1.71071921039263,6015,6.1,60.9,48979,7,17.9,25.8,14.8
"9","El Dorado",109356,193098,5189,0.0268723653274503,46,0.000238221006949839,89538,0.463692011310319,6017,4.9,107.2,86202,1,8.7,9.1,34.3
"10","Fresno",545202,1032227,38184,0.0369918632238839,514,0.000497952485257603,563154,0.545571855803036,6019,7.8,70.8,56926,2,20.5,29,21.2
"11","Glenn",14271,29348,1052,0.0358457135068829,8,0.000272590977238653,9617,0.327688428513016,6021,5.7,69.2,55682,6,12.1,18.1,14.2
"12","Humboldt",82442,134098,4196,0.0312905487031872,62,0.000462348431743948,76392,0.569672925770705,6023,5,63.6,51134,5,19.1,20.5,30.4
"13","Imperial",135662,191649,5844,0.0304932454643645,31,0.000161754039937594,101498,0.529603598244708,6025,18.1,59.8,48102,3,22,30.7,15.2
"14","Inyo",10134,18453,1072,0.0580935349265702,7,0.000379342112393649,7708,0.417709857475749,6027,4.9,74.1,59605,7,11.7,15.4,27.2
"15","Kern",428786,927251,31354,0.0338139295616829,434,0.000468050182744478,531589,0.573295688006807,6029,8.7,66.2,53245,2,19,26,16.4
"16","Kings",60522,156444,9211,0.0588772979468692,115,0.000735087315588965,153183,0.979155480555343,6031,8,71.2,57297,3,16,22.3,14.7
"17","Lake",32863,64871,2411,0.037166068042731,45,0.000693684389018205,31370,0.483575095188913,6033,6.2,58.3,46897,4,18.3,25.2,15.5
"18","Lassen",8188,30065,1652,0.0549476135040745,30,0.000997838017628472,53584,1.78227174455347,6035,4.6,66.7,53613,7,16.5,15,12.9
"19","Los Angeles",6658610,10257557,192627,0.0187790328632831,2222,0.000216620780172121,16349761,1.59392348489996,6037,8.2,90.4,72721,1,13.4,18.3,32.5
"20","Madera",76102,160089,6747,0.0421453066731631,57,0.000356051946104979,117500,0.733966731005878,6039,7.3,76,61105,3,17.6,26.1,14.6
"21","Marin",207455,260800,2926,0.0112193251533742,9,3.45092024539877e-05,165523,0.634674079754601,6041,3.6,139.3,112069,1,6.9,7.2,59.5
"22","Mariposa",7078,17795,920,0.0516999157066592,0,0,12374,0.695363866254566,6043,5.7,65.6,52760,8,15.1,21.9,24.6
"23","Mendocino",54847,88439,3332,0.0376756860661021,38,0.000429674691029975,50004,0.565406664480602,6045,5.1,65,52309,4,14,20.4,24.4
"24","Merced",125947,287420,10981,0.0382054136803284,162,0.000563635098462181,153853,0.535289819775938,6047,8.2,74.3,59733,2,17,22.5,13.8
"25","Modoc",3541,9475,163,0.0172031662269129,1,0.000105540897097625,1258,0.132770448548813,6049,5.1,56.3,45311,6,20.5,31,15.2
"26","Mono",8679,13961,582,0.0416875581978368,1,7.16281068691354e-05,10334,0.740204856385646,6051,5.5,82.3,66226,7,10.1,12,28.8
"27","Monterey",282049,448732,4635,0.0103291051228796,37,8.24545608514659e-05,176726,0.393834181649626,6053,5.7,95.1,76509,2,12.6,18.4,24.7
"28","Napa",99685,139652,2696,0.0193051298943087,21,0.000150373786268725,88172,0.631369403946954,6055,4.6,112.2,90230,3,7.4,8.4,35.7
"29","Nevada",58598,98710,3886,0.0393678452031202,30,0.000303920575422956,58660,0.594266031810354,6057,4.6,86.5,69550,4,9.4,13.5,37.2
"30","Orange",2118017,3228519,44127,0.0136678768190616,518,0.000160445083333875,1413081,0.43768706332532,6059,5,119.1,95761,1,9.5,12.6,40.6
"31","Placer",244050,400434,12343,0.0308240558993492,163,0.000407058341699256,210548,0.525799507534325,6061,4.3,121.5,97688,1,6.6,7.5,39.7
"32","Plumas",9847,18997,1122,0.0590619571511291,2,0.000105279781018055,11981,0.630678528188661,6063,6.7,73.8,59376,7,13.2,19.3,23.7
"33","Riverside",1322372,2468145,66053,0.0267622040034115,779,0.000315621651078036,1246744,0.505134017652934,6065,6.6,90.7,72905,1,11.3,14.1,22.3
"34","Sacramento",942732,1567975,44934,0.0286573446642963,605,0.000385847988647778,1006670,0.642019164846378,6067,6.1,89.4,71891,1,12.6,16,30.9
"35","San Benito",40028,64022,1380,0.0215550904376621,12,0.000187435569023148,34469,0.538393052388242,6069,6,104.7,84209,1,10.4,13.9,19.7
"36","San Bernardino",1121265,2217398,58752,0.0264959199927122,631,0.000284567768167916,1312948,0.592112015975481,6071,6.6,83.8,67398,1,13.3,18.5,21
"37","San Diego",2308875,3370418,84807,0.0251621608951768,536,0.000159030719631808,2755238,0.817476645330045,6073,5.6,103.9,83576,1,10.3,12.8,38.8
"38","San Francisco",689426,892280,11735,0.0131517012596943,98,0.00010983099475501,729581,0.817659254942395,6075,4.1,151.4,121795,1,9.5,9.3,58.1
"39","San Joaquin",414915,782545,24130,0.0308352874275601,349,0.000445980742321528,477055,0.6096198940636,6077,7.5,85.1,68458,2,13.6,18.2,18.8
"40","San Luis Obispo",168905,278862,7969,0.0285768588047134,96,0.000344256298814467,174926,0.627285180483537,6079,4.6,95.2,76599,2,11.6,11.2,35.4
"41","San Mateo",588267,778001,8990,0.0115552550703662,21,2.69922532233249e-05,712918,0.91634586587935,6081,3.8,168.2,135234,1,6.1,6.3,51
"42","Santa Barbara",284508,456373,9534,0.0208908064236929,82,0.000179677588288527,262116,0.57434598453458,6083,4.7,92.7,74530,2,12,13.1,34.2
"43","Santa Clara",1514190,1967585,26411,0.0134230541501384,159,8.08097235951687e-05,1895922,0.963578193572323,6085,3.9,164.7,132444,1,6.1,5.5,52.4
"44","Santa Cruz",188920,273999,4344,0.0158540724601185,16,5.83943737020938e-05,274283,1.00103650013321,6087,5.4,106.6,85770,2,10.6,10.4,40.8
"45","Shasta",77440,177925,9118,0.0512463116481664,199,0.00111844878460025,124371,0.699008008992553,6089,5.6,76.4,61464,3,13.3,16.5,22.2
"46","Sierra",1540,3115,122,0.0391653290529695,0,0,1390,0.446227929373997,6091,4.3,69.5,55862,8,12.7,18.4,17.9
"47","Siskiyou",19596,43956,1318,0.02998452998453,24,0.000546000546000546,11643,0.264878514878515,6093,6.2,57.1,45954,6,17.4,25.5,23.2
"48","Solano",270299,444255,10073,0.0226739147561648,92,0.000207088271375674,281022,0.632569132592768,6095,6.3,106.6,85704,2,9,11.2,26.9
"49","Sonoma",355484,496668,9050,0.018221427593483,67,0.000134898966714183,347396,0.699453155830454,6097,4.5,108.3,87084,2,7.2,7.7,35.5
"50","Stanislaus",283949,562303,21532,0.0382925220032616,222,0.000394804936128742,291624,0.518624300421659,6099,6.9,78,62761,2,13,17.1,17.1
"51","Sutter",52658,105747,3885,0.0367386308831456,51,0.000482283185338591,49346,0.466642079680747,6101,7.1,75.7,60910,3,12.8,17.4,18.2
"52","Tehama",25424,65885,3433,0.0521059421719663,65,0.000986567503984215,28149,0.427244441071564,6103,5.9,64.3,51672,4,16.3,23.7,15.7
"53","Trinity",5646,13354,369,0.0276321701362888,12,0.000898607158903699,3086,0.231091807698068,6105,4.7,54.6,43881,8,16.5,25.3,19.5
"54","Tulare",224392,484423,18970,0.0391599903390219,228,0.000470663036230732,268095,0.553431608325781,6107,9.3,70.6,56776,2,18.9,25.8,14.6
"55","Tuolumne",26787,52351,3038,0.0580313652079234,17,0.000324731141716491,45265,0.86464441939982,6109,6.1,80.5,64729,4,11.3,15.2,20.5
"56","Ventura",560387,852747,14827,0.0173873376276903,133,0.000155966541072557,552600,0.648023387945076,6111,5.3,113.7,91446,2,8.2,11.4,33.8
"57","Yolo",142157,223612,5090,0.0227626424342164,32,0.000143105021197431,430076,1.92331359676583,6113,4.7,88.2,70951,1,16.9,13,41.4
"58","Yuba",34514,79290,3557,0.0448606381637029,16,0.0002017908941859,39742,0.501223357296002,6115,7.3,70.4,56607,3,15.2,18.8,17.1
