PolygonLayer2_label,Value0
,6.8
,5.9
,7.8
,7.9
,6.1
,10.1
,7.3
,7.9
,7.8
,8
,7.7
,6.5
,11.6
,5.4
,9.5
,7.1
,5.3
,5.9
,6.6
,8.3
,5.4
,6.8
,8.9
,9.9
,6.2
,8.1
,6.1
,5.9
,4.2
,12.8
,6.7
,9.8
,8.4
,10
,7.3
,5.1
,8.1
,6.1
,7.6
,9.1
,9.4
,6.2
,4.6
,7.5
,7.6
,4.7
,5.6
,6.2
,8.4
,8.3
,6.3
,5.8
,

fips1,name,year,ID2008,Textbox50,ID2009,Textbox53,ID2010,Textbox56,ID2011,Textbox59,ID20121,Textbox62,ID2013,Textbox65,ID20141,Textbox68,ID2015,Textbox71,ID20161,Textbox12,Textbox20,Textbox11
06000,California,2012,10.5,2013,9.0,2014,7.6,2015,6.3,2016,5.5,2017,4.8,2018,4.3,2019,4.2,2020,10.1,Median Household Income (2019),"$80,423",100.0%
06001,"Alameda County, CA",2012,8.8,2013,7.3,2014,5.9,2015,4.8,2016,4.3,2017,3.7,2018,3.1,2019,3.0,2020,8.8,Median Household Income (2019),"$107,589",133.8%
06003,"Alpine County, CA",2012,11.2,2013,9.8,2014,8.3,2015,7.5,2016,6.5,2017,6.2,2018,4.6,2019,5.4,2020,11.2,Median Household Income (2019),"$58,112",72.3%
06005,"Amador County, CA",2012,12.5,2013,10.4,2014,8.4,2015,6.6,2016,6.0,2017,5.0,2018,4.1,2019,3.9,2020,9.1,Median Household Income (2019),"$62,640",77.9%
06007,"Butte County, CA",2012,12.3,2013,10.4,2014,8.7,2015,7.2,2016,6.6,2017,5.8,2018,5.1,2019,5.2,2020,9.2,Median Household Income (2019),"$58,394",72.6%
06009,"Calaveras County, CA",2012,12.6,2013,10.1,2014,8.1,2015,6.4,2016,5.7,2017,4.8,2018,4.1,2019,3.9,2020,7.6,Median Household Income (2019),"$68,248",84.9%
06011,"Colusa County, CA",2012,21.0,2013,19.1,2014,17.6,2015,15.5,2016,15.6,2017,14.3,2018,13.3,2019,13.0,2020,16.0,Median Household Income (2019),"$59,048",73.4%
06013,"Contra Costa County, CA",2012,9.1,2013,7.6,2014,6.2,2015,5.1,2016,4.5,2017,3.9,2018,3.2,2019,3.1,2020,8.9,Median Household Income (2019),"$106,555",132.5%
06015,"Del Norte County, CA",2012,13.7,2013,12.0,2014,10.2,2015,8.6,2016,7.5,2017,6.5,2018,5.8,2019,5.9,2020,9.5,Median Household Income (2019),"$48,979",60.9%
06017,"El Dorado County, CA",2012,10.4,2013,8.6,2014,7.1,2015,5.7,2016,5.2,2017,4.4,2018,3.7,2019,3.6,2020,8.3,Median Household Income (2019),"$86,202",107.2%
06019,"Fresno County, CA",2012,15.4,2013,13.4,2014,11.7,2015,10.3,2016,9.5,2017,8.6,2018,7.6,2019,7.4,2020,11.3,Median Household Income (2019),"$56,926",70.8%
06021,"Glenn County, CA",2012,14.4,2013,12.2,2014,10.8,2015,8.8,2016,8.4,2017,7.5,2018,6.6,2019,6.2,2020,8.9,Median Household Income (2019),"$55,682",69.2%
06023,"Humboldt County, CA",2012,9.7,2013,8.2,2014,6.7,2015,5.6,2016,4.9,2017,4.2,2018,3.6,2019,3.7,2020,8.4,Median Household Income (2019),"$51,134",63.6%
06025,"Imperial County, CA",2012,27.7,2013,25.3,2014,24.3,2015,24.6,2016,24.2,2017,19.7,2018,18.8,2019,20.9,2020,22.5,Median Household Income (2019),"$48,102",59.8%
06027,"Inyo County, CA",2012,9.2,2013,7.9,2014,6.9,2015,5.8,2016,5.3,2017,4.4,2018,3.9,2019,3.6,2020,7.8,Median Household Income (2019),"$59,605",74.1%
06029,"Kern County, CA",2012,13.4,2013,11.9,2014,10.5,2015,10.3,2016,10.4,2017,9.3,2018,8.1,2019,7.9,2020,12.5,Median Household Income (2019),"$53,245",66.2%
06031,"Kings County, CA",2012,15.1,2013,13.6,2014,12.1,2015,10.6,2016,10.0,2017,9.0,2018,7.9,2019,8.0,2020,11.6,Median Household Income (2019),"$57,297",71.2%
06033,"Lake County, CA",2012,13.0,2013,11.0,2014,9.0,2015,7.6,2016,6.7,2017,5.8,2018,5.3,2019,5.2,2020,9.6,Median Household Income (2019),"$46,897",58.3%
06035,"Lassen County, CA",2012,12.7,2013,10.7,2014,9.2,2015,7.3,2016,7.0,2017,5.6,2018,4.8,2019,4.7,2020,7.1,Median Household Income (2019),"$53,613",66.7%
06037,"Los Angeles County, CA",2012,11.0,2013,9.8,2014,8.2,2015,6.7,2016,5.3,2017,4.8,2018,4.7,2019,4.6,2020,12.8,Median Household Income (2019),"$72,721",90.4%
